Category,1998,2007,abs_change,pct_change
"O10-O75, O85-O92, O95-O99 Complications of labour and delivery",858746.0,1059107.0,200361.0,23.331811734785372
R00-R09 Symptoms & signs inv. the circulatory/respiratory system,234878.0,404519.0,169641.0,72.22515518694811
M00-M25 Arthropathies,294997.0,429480.0,134483.0,45.58792123309728
R50-R68 General symptoms & signs,186398.0,292706.0,106308.0,57.03280078112426
K55-K63 Other diseases of intestines,205599.0,310554.0,104955.0,51.04840004085624
Z30-Z39 Health services in circumstances related to reproduction,563184.0,658210.0,95026.0,16.872993550953154
H25-H28 Disorders of lens (including cataracts),219388.0,303151.0,83763.0,38.180301566175
R10-R19 Symptoms & signs inv. the digestive system & abdomen,311136.0,387388.0,76252.0,24.507610819705853
M40-M54 Dorsopathies,142061.0,207378.0,65317.0,45.97813615277944
K50-K52 Noninfective enteritis & colitis,95868.0,160987.0,65119.0,67.92568948971503
M60-M79 Soft tissue disorders,116078.0,179703.0,63625.0,54.81228139699168
N30-N39 Other diseases of the urinary system,156378.0,211841.0,55463.0,35.46726521633478
D50-D64 Anaemias,91127.0,144589.0,53462.0,58.667573825540174
E15-E90 Endocrine nutritional and metabolic diseases,54099.0,107003.0,52904.0,97.79108671139947
"C81-C96 Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",189963.0,239416.0,49453.0,26.032964314103275
C15-C26 Malignant neoplasm of digestive organs,201976.0,245075.0,43099.0,21.338673901849724
N17-N19 Renal failure,39151.0,82027.0,42876.0,109.51444407550255
"K80-K87 Disorders of gall bladder, biliary tract & pancreas",97214.0,137485.0,40271.0,41.42510338017158
T80-T88 Complications of surgical & medical care nec.,100834.0,140195.0,39361.0,39.03544439375607
S00-S09 Injuries to the head,119135.0,155996.0,36861.0,30.94052965123599
Z00-Z13 Examination and investigation,205070.0,240421.0,35351.0,17.238503925488857
C50 Malignant neoplasm of breast,119941.0,154785.0,34844.0,29.050950050441465
N80-N98 Noninflammatory disorders of female genital tract,290198.0,251166.0,-39032.0,-13.450127154563434
J30-J39 Other diseases of upper respiratory tract,150932.0,101958.0,-48974.0,-32.44772480322264
R69 Unknown & unspecified causes of morbidity,222241.0,134422.0,-87819.0,-39.515210964673486
